date,station_id,fuel_type,price_per_litre,volume_sold_litres,rainfall_mm,temperature_c,day_of_week,holiday,competitor_price
2024-01-01,101,Petrol,181.17,5028,2.25,28.9,Monday,No,181.08
2024-01-02,101,Petrol,181.32,4776,2.46,26.8,Tuesday,No,180.02
2024-01-03,101,Petrol,179.98,5578,1.61,28.7,Wednesday,No,178.91
2024-01-04,101,Petrol,178.94,5732,0.0,28.5,Thursday,No,179.92
2024-01-05,101,Petrol,181.19,5784,0.72,29.6,Friday,No,181.67
2024-01-06,101,Petrol,177.23,5467,1.31,22.2,Saturday,No,176.58
2024-01-07,101,Petrol,182.78,4768,1.16,25.7,Sunday,No,181.85
2024-01-08,101,Petrol,178.2,4784,1.39,26.3,Monday,No,178.46
2024-01-09,101,Petrol,181.44,5275,3.03,27.7,Tuesday,No,181.07
2024-01-10,101,Petrol,177.49,5148,0.89,26.9,Wednesday,No,176.32
2024-01-11,101,Petrol,179.09,4229,0.0,31.2,Thursday,No,178.45
2024-01-12,101,Petrol,178.69,5416,3.29,30.6,Friday,No,178.4
2024-01-13,101,Petrol,178.74,5645,5.29,26.6,Saturday,Yes,178.92
2024-01-14,101,Petrol,177.08,6353,5.39,27.8,Sunday,No,177.28
2024-01-15,101,Petrol,181.24,4830,0.32,30.5,Monday,No,181.64
2024-01-16,101,Petrol,181.15,5110,0.0,31.3,Tuesday,No,180.78
2024-01-17,101,Petrol,178.54,5505,4.33,28.8,Wednesday,No,178.21
2024-01-18,101,Petrol,178.78,5067,4.36,23.7,Thursday,No,179.94
2024-01-19,101,Petrol,181.44,5214,3.71,28.9,Friday,No,181.37
2024-01-20,101,Petrol,179.25,5298,3.94,22.4,Saturday,No,179.09
2024-01-21,101,Petrol,181.54,5324,1.14,28.8,Sunday,No,179.32
2024-01-22,101,Petrol,179.82,5155,2.35,24.7,Monday,No,178.64
2024-01-23,101,Petrol,179.07,5305,0.0,29.2,Tuesday,No,178.52
2024-01-24,101,Petrol,182.54,5383,0.63,30.9,Wednesday,No,182.95
2024-01-25,101,Petrol,180.35,5163,3.33,25.1,Thursday,Yes,178.65
2024-01-26,101,Petrol,178.06,5164,0.09,29.3,Friday,No,176.08
2024-01-27,101,Petrol,179.49,6054,2.01,28.3,Saturday,No,181.48
2024-01-28,101,Petrol,178.1,5607,0.0,29.8,Sunday,No,178.08
2024-01-29,101,Petrol,182.62,4951,0.0,27.3,Monday,No,181.18
2024-01-30,101,Petrol,179.17,4938,4.7,31.2,Tuesday,No,179.02
2024-01-31,101,Petrol,181.94,5828,2.04,35.1,Wednesday,No,181.6
2024-02-01,101,Petrol,179.81,5284,6.3,32.2,Thursday,No,180.97
2024-02-02,101,Petrol,180.81,5655,4.68,33.7,Friday,No,180.99
2024-02-03,101,Petrol,180.63,5170,3.54,33.6,Saturday,No,180.59
2024-02-04,101,Petrol,181.18,5520,7.76,28.4,Sunday,No,181.37
2024-02-05,101,Petrol,181.47,4262,1.61,23.8,Monday,No,181.3
2024-02-06,101,Petrol,178.03,5380,0.86,25.8,Tuesday,No,177.38
2024-02-07,101,Petrol,181.06,5288,0.0,27.3,Wednesday,No,179.13
2024-02-08,101,Petrol,177.69,4984,2.76,27.0,Thursday,No,178.27
2024-02-09,101,Petrol,181.6,5520,2.52,25.1,Friday,No,180.13
2024-02-10,101,Petrol,177.4,5283,0.66,25.2,Saturday,No,177.97
2024-02-11,101,Petrol,179.76,5061,10.03,28.2,Sunday,No,179.12
2024-02-12,101,Petrol,177.74,5643,1.99,33.9,Monday,No,177.11
2024-02-13,101,Petrol,180.63,4825,0.0,29.4,Tuesday,No,181.25
2024-02-14,101,Petrol,180.76,5052,3.35,23.0,Wednesday,No,181.31
2024-02-15,101,Petrol,179.94,4928,1.52,26.1,Thursday,No,181.7
2024-02-16,101,Petrol,183.15,5012,1.23,27.0,Friday,No,182.41
2024-02-17,101,Petrol,179.98,4611,0.0,27.2,Saturday,No,181.07
2024-02-18,101,Petrol,179.08,5657,4.81,28.1,Sunday,No,179.13
2024-02-19,101,Petrol,181.86,5159,0.0,29.3,Monday,No,181.33
